age,ast_pct,blk_pct,bpm,dbpm,drb_pct,dws,fg3a_per_fga_pct,fta_per_fga_pct,g,lg_id,mp,name,obpm,orb_pct,ows,per,pid,pos,ring,season,stl_pct,team_id,tov_pct,trb_pct,ts_pct,usg_pct,vorp,ws,ws_per_48
29,28.8,,,,,-0.2,.068,.466,7,ABA,269,Larry Brown,,,0.4,13.7,3679,PG,False,1969-70,,WSA,22.1,6.1,.551,15.8,,0.2,.027
31,24.2,,,,,0.4,.060,.480,7,ABA,211,Larry Brown,,,0.2,11.5,3679,PG,False,1971-72,,DNR,18.8,2.2,.537,14.7,,0.6,.143
22,7.7,2.7,-4.4,0.7,20.8,0.0,.000,.692,3,NBA,60,Kwame Brown,-5.1,7.2,0.0,9.6,3680,PF,False,2004-05,0.0,WAS,10.5,13.8,.442,13.6,0.0,0.1,.041
23,5.1,2.3,-1.3,1.5,17.1,0.1,.000,.477,7,NBA,225,Kwame Brown,-2.8,9.1,0.3,15.3,3680,C,False,2005-06,0.5,LAL,13.2,12.9,.572,18.3,0.0,0.4,.081
24,1.2,2.4,-2.9,2.1,13.9,0.0,.000,.250,5,NBA,133,Kwame Brown,-5.0,10.4,0.1,11.2,3680,C,False,2006-07,0.4,LAL,18.4,12.0,.538,16.0,0.0,0.0,.005
26,0.0,5.7,-6.8,2.7,25.4,0.0,.000,.500,3,NBA,48,Kwame Brown,-9.5,15.8,0.0,6.8,3680,C,False,2008-09,0.0,DET,23.5,20.4,.461,13.5,-0.1,0.0,.007
20,0.0,27.6,39.1,6.0,0.0,0.0,.500,.000,2,NBA,3,Kedrick Brown,33.2,0.0,0.0,94.6,3681,SF,False,2001-02,0.0,BOS,0.0,0.0,1.250,31.2,0.0,0.0,.707
21,0.0,0.0,-7.7,-2.9,0.0,0.0,.000,.500,3,NBA,11,Kedrick Brown,-4.8,21.3,0.0,12.2,3681,SF,False,2002-03,4.8,BOS,0.0,10.5,.307,21.0,0.0,0.0,.007
26,0.0,0.0,-17.0,1.9,0.0,0.0,,,2,NBA,6,John Brown,-18.9,0.0,-0.1,-19.6,3682,SF,False,1977-78,0.0,ATL,100.0,0.0,,14.5,0.0,-0.1,-0.475
28,2.5,1.1,-7.7,1.3,16.3,0.0,.077,.154,5,NBA,58,John Brown,-9.0,3.6,-0.2,0.6,3682,SF,False,1979-80,0.9,ATL,26.5,9.6,.360,14.0,-0.1,-0.1,-0.103
23,0.0,0.0,18.0,-10.5,0.0,0.0,.000,.000,1,NBA,1,Gerald Brown,28.6,0.0,0.0,93.6,3685,SG,False,1998-99,0.0,PHO,0.0,0.0,1.000,46.2,0.0,0.0,1.525
26,17.5,0.2,3.9,-0.3,10.2,0.2,,.230,8,NBA,240,Fred Brown,4.2,5.3,0.6,22.5,3687,SG,False,1974-75,3.2,SEA,,7.8,.539,,0.4,0.8,.166
27,12.6,0.0,2.4,-0.6,8.2,0.0,,.331,6,NBA,236,Fred Brown,3.0,5.9,0.8,22.2,3687,SG,False,1975-76,2.5,SEA,,7.0,.561,,0.3,0.8,.159
29,16.5,0.2,-0.1,-2.4,5.5,0.5,,.264,22,NBA,575,Fred Brown,2.4,2.8,1.3,19.9,3687,SG,False,1977-78,1.9,SEA,7.5,4.2,.501,28.8,0.3,1.8,.151
30,21.8,0.8,-1.4,-2.1,6.0,0.2,,.120,17,NBA,260,Fred Brown,0.6,3.4,0.4,16.6,3687,PG,True,1978-79,1.7,SEA,9.7,4.7,.475,25.5,0.0,0.6,.119
31,17.7,0.2,-1.7,-2.7,7.8,0.2,.187,.115,15,NBA,313,Fred Brown,1.0,5.5,0.3,14.8,3687,SG,False,1979-80,0.3,SEA,10.7,6.6,.492,28.1,0.0,0.5,.072
