age,and1s,astd_pts,drawn_shooting,fga_blkd,fouls_blocking,fouls_offensive,fouls_shooting,fouls_take,g,lg_id,mp,name,pct_1,pct_2,pct_3,pct_4,pct_5,pid,plus_minus_net,plus_minus_on,pos,ring,season,team_id,tov_bad_pass,tov_lost_ball,tov_other
22,1,33,4,3,,2,5,0,5,NBA,167,Metta World Peace,,1%,97%,2%,,1292,13.2,5.2,SF,False,2001-02,IND,3,3,3
23,2,28,15,5,,2,7,0,6,NBA,252,Metta World Peace,,12%,80%,8%,,1292,-3.1,-6.8,SF,False,2002-03,IND,5,7,4
24,8,110,35,23,,8,10,0,15,NBA,584,Metta World Peace,,10%,90%,,,1292,1.0,5.5,SF,False,2003-04,IND,10,13,14
26,3,34,9,6,,3,3,0,5,NBA,198,Metta World Peace,,,45%,55%,,1292,18.3,-3.9,SF,False,2005-06,SAC,0,2,3
29,4,119,11,12,,3,7,0,13,NBA,488,Metta World Peace,,,97%,3%,,1292,4.2,-0.8,SF,False,2008-09,HOU,16,10,6
30,2,111,12,12,,2,23,0,23,NBA,839,Metta World Peace,,1%,97%,2%,,1292,9.7,6.3,SF,True,2009-10,LAL,10,11,4
31,3,44,10,3,0,2,4,0,9,NBA,287,Metta World Peace,,,98%,2%,,1292,5.3,1.0,SF,False,2010-11,LAL,3,2,4
32,0,29,3,1,0,1,5,0,6,NBA,236,Metta World Peace,,5%,94%,1%,,1292,1.9,-3.5,SF,False,2011-12,LAL,4,0,1
33,0,11,1,5,1,1,0,0,3,NBA,84,Metta World Peace,,,100%,1%,,1292,26.7,-5.3,SF,False,2012-13,LAL,1,0,2
21,0,0,1,0,,1,1,0,4,NBA,18,Qyntel Woods,,,10%,90%,,1301,-36.1,-32.9,PF,False,2002-03,POR,0,0,1
24,0,0,0,1,,0,0,0,2,NBA,2,Loren Woods,,,,,100%,1302,57.1,50.0,C,False,2002-03,MIN,0,0,0
25,0,0,0,0,,0,0,0,1,NBA,2,Loren Woods,,,,,100%,1302,50.1,50.0,C,False,2003-04,MIA,0,0,0
29,0,0,0,0,,0,0,0,1,NBA,1,Loren Woods,,,,,100%,1302,-96.7,-100.0,C,False,2007-08,HOU,0,0,0
40,1,5,2,3,,1,7,0,18,NBA,91,Kevin Willis,,,,,100%,1346,2.9,9.0,C,True,2002-03,SAS,2,3,3
41,1,0,1,0,,0,3,0,7,NBA,25,Kevin Willis,,,,22%,78%,1346,-16.9,-12.4,C,False,2003-04,SAS,0,0,0
28,4,20,18,6,,8,9,0,10,NBA,269,Corliss Williamson,,,73%,27%,,1349,9.4,4.0,SF,False,2001-02,DET,7,6,9
29,4,35,21,5,,8,15,0,15,NBA,233,Corliss Williamson,,22%,75%,3%,,1349,-10.7,-7.0,SF,False,2002-03,DET,6,5,9
30,1,33,17,11,,9,23,0,22,NBA,327,Corliss Williamson,,3%,63%,33%,,1349,-9.7,0.8,PF,True,2003-04,DET,6,7,11
31,0,7,7,2,,3,4,0,5,NBA,40,Corliss Williamson,,,18%,67%,16%,1349,-20.6,-22.5,PF,False,2004-05,SAC,0,1,3
32,1,0,2,1,,0,2,0,3,NBA,11,Corliss Williamson,,,,100%,,1349,-36.5,-45.1,SF,False,2005-06,SAC,0,0,0
32,1,38,3,5,,1,12,0,15,NBA,227,Walt Williams,,1%,6%,91%,2%,1352,4.1,2.4,SF,False,2002-03,DAL,10,3,4
25,0,15,1,0,0,0,2,0,5,NBA,48,Terrence Williams,2%,54%,40%,4%,,1355,-1.1,-7.4,SF,False,2012-13,BOS,2,2,0
26,0,0,1,1,,1,3,0,8,NBA,57,Shelden Williams,,,,74%,26%,1356,-1.7,1.5,PF,False,2009-10,BOS,2,2,2
24,0,11,1,1,1,1,4,0,4,NBA,101,Shawne Williams,,,22%,79%,,1357,35.9,7.1,PF,False,2010-11,NYK,2,1,1
26,1,6,2,0,,0,0,0,3,NBA,38,Shammond Williams,16%,84%,,,,1358,8.8,-4.1,SG,False,2001-02,SEA,1,3,0
28,0,10,0,0,,1,1,0,3,NBA,18,Shammond Williams,100%,,,,,1358,-5.2,-8.3,PG,False,2003-04,NOH,1,2,1
31,0,17,0,1,,0,2,0,4,NBA,80,Shammond Williams,100%,,,,,1358,1.4,-10.1,PG,False,2006-07,LAL,1,0,1
