age,ast,blk,drb,efg_pct,fg,fg2,fg2_pct,fg2a,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,g,gs,lg_id,mp,name,orb,pf,pid,pos,pts,ring,season,stl,team_id,tov,trb
22,0,,,,30,,,,,,,.341,88,37,.787,47,5,,BAA,,Max Zaslofsky,,17,24,SG,97,False,1947-48,,CHS,,
23,6,,,,15,,,,,,,.306,49,14,.778,18,2,,BAA,,Max Zaslofsky,,3,24,SG,44,False,1948-49,,CHS,,
24,6,,,,15,,,,,,,.469,32,15,.833,18,2,,NBA,,Max Zaslofsky,,7,24,SG,45,False,1949-50,,CHS,,
25,38,,,,88,,,,,,,.406,217,74,.740,100,14,,NBA,,Max Zaslofsky,,43,24,SG,250,False,1950-51,,NYK,,58
26,23,,,,69,,,,,,,.373,185,89,.809,110,14,,NBA,506,Max Zaslofsky,,51,24,SG,227,False,1951-52,,NYK,,44
28,6,,,,11,,,,,,,.306,36,13,.867,15,4,,NBA,98,Max Zaslofsky,,7,24,SG,35,False,1953-54,,FTW,,3
29,18,,,,18,,,,,,,.409,44,16,.800,20,11,,NBA,129,Max Zaslofsky,,20,24,SG,52,False,1954-55,,FTW,,16
22,4,1,11,.333,1,1,.500,2,0,.000,1,.333,3,0,,0,1,1,NBA,17,Jusuf Nurkic,0,1,25,C,2,False,2016-17,0,POR,3,11
23,4,5,20,.487,19,19,.487,39,0,,0,.487,39,9,.818,11,4,4,NBA,94,Jusuf Nurkic,12,14,25,C,47,False,2017-18,6,POR,3,32
22,14,8,67,.463,69,56,.479,117,13,.283,46,.423,163,83,.883,94,10,10,NBA,399,Dirk Nowitzki,14,37,27,PF,234,False,2000-01,11,DAL,14,81
23,18,6,88,.494,73,57,.419,136,16,.571,28,.445,164,65,.878,74,8,8,NBA,357,Dirk Nowitzki,17,27,27,C,227,False,2001-02,16,DAL,22,105
24,37,16,181,.522,150,123,.488,252,27,.443,61,.479,313,103,.912,113,17,17,NBA,722,Dirk Nowitzki,15,52,27,PF,430,False,2002-03,21,DAL,40,196
25,7,13,46,.485,45,38,.447,85,7,.467,15,.450,100,36,.857,42,5,5,NBA,212,Dirk Nowitzki,13,16,27,C,133,False,2003-04,7,DAL,6,59
26,43,21,106,.422,103,93,.412,226,10,.333,30,.402,256,92,.829,111,13,13,NBA,551,Dirk Nowitzki,25,42,27,PF,308,False,2004-05,18,DAL,33,131
27,67,14,221,.495,196,173,.491,352,23,.343,67,.468,419,205,.895,229,23,23,NBA,983,Dirk Nowitzki,47,64,27,PF,620,False,2005-06,25,DAL,49,268
28,14,8,43,.404,36,32,.427,75,4,.211,19,.383,94,42,.840,50,6,6,NBA,239,Dirk Nowitzki,25,20,27,PF,118,False,2006-07,11,DAL,14,68
29,20,7,50,.505,43,37,.507,73,6,.333,18,.473,91,42,.808,52,5,5,NBA,211,Dirk Nowitzki,10,13,27,PF,134,False,2007-08,1,DAL,10,60
30,31,8,89,.535,88,82,.550,149,6,.286,21,.518,170,86,.925,93,10,10,NBA,394,Dirk Nowitzki,12,21,27,PF,268,False,2008-09,9,DAL,23,101
31,18,4,42,.566,58,54,.545,99,4,.571,7,.547,106,40,.952,42,6,6,NBA,233,Dirk Nowitzki,7,15,27,PF,160,False,2009-10,5,DAL,10,49
32,53,13,159,.514,192,169,.488,346,23,.460,50,.485,396,175,.941,186,21,21,NBA,826,Dirk Nowitzki,12,46,27,PF,582,True,2010-11,12,DAL,65,171
33,7,0,22,.448,34,33,.465,71,1,.167,6,.442,77,38,.905,42,4,4,NBA,154,Dirk Nowitzki,3,9,27,PF,107,False,2011-12,3,DAL,10,25
35,11,6,51,.433,54,53,.465,114,1,.083,12,.429,126,25,.806,31,7,7,NBA,263,Dirk Nowitzki,5,20,27,PF,134,False,2013-14,6,DAL,15,56
36,12,2,48,.476,38,34,.507,67,4,.235,17,.452,84,26,.929,28,5,5,NBA,181,Dirk Nowitzki,4,16,27,PF,106,False,2014-15,2,DAL,10,52
37,8,3,21,.518,41,37,.514,72,4,.364,11,.494,83,16,.941,17,5,5,NBA,170,Dirk Nowitzki,3,9,27,PF,102,False,2015-16,2,DAL,7,24
23,0,0,7,.750,3,3,.750,4,0,,0,.750,4,0,,0,5,0,NBA,29,Lucas Nogueira,1,3,29,C,6,False,2015-16,0,TOR,0,8
24,0,0,3,.500,1,1,.500,2,0,,0,.500,2,1,.500,2,3,0,NBA,7,Lucas Nogueira,2,1,29,C,3,False,2016-17,0,TOR,0,5
25,1,0,1,.000,0,0,.000,1,0,,0,.000,1,1,.500,2,5,0,NBA,24,Lucas Nogueira,0,6,29,C,1,False,2017-18,0,TOR,3,1
23,16,15,64,.510,26,26,.510,51,0,,0,.510,51,19,.760,25,7,7,NBA,271,Joakim Noah,28,31,30,C,71,False,2008-09,6,CHI,8,92
24,13,7,45,.528,28,28,.528,53,0,,0,.528,53,18,.947,19,5,5,NBA,188,Joakim Noah,20,20,30,C,74,False,2009-10,9,CHI,15,65
25,40,33,95,.411,51,51,.411,124,0,,0,.411,124,37,.725,51,16,16,NBA,529,Joakim Noah,68,63,30,C,139,False,2010-11,16,CHI,19,163
26,9,4,19,.731,19,19,.731,26,0,,0,.731,26,7,.636,11,3,3,NBA,99,Joakim Noah,9,5,30,C,45,False,2011-12,2,CHI,1,28
27,28,26,63,.437,52,52,.437,119,0,,0,.437,119,25,.641,39,12,12,NBA,409,Joakim Noah,52,43,30,C,129,False,2012-13,10,CHI,24,115
28,23,7,49,.512,21,21,.512,41,0,,0,.512,41,10,.588,17,5,5,NBA,210,Joakim Noah,15,19,30,C,52,False,2013-14,5,CHI,19,64
29,38,14,87,.408,31,31,.408,76,0,,0,.408,76,7,.350,20,12,12,NBA,395,Joakim Noah,45,37,30,C,69,False,2014-15,10,CHI,20,132
24,4,1,7,.731,8,5,.714,7,3,.500,6,.615,13,4,1.000,4,9,0,NBA,60,Raul Neto,0,8,33,PG,23,False,2016-17,1,UTA,3,7
25,10,0,8,.348,7,5,.313,16,2,.286,7,.304,23,5,1.000,5,8,0,NBA,72,Raul Neto,2,7,33,PG,21,False,2017-18,2,UTA,4,10
24,13,0,8,.470,21,16,.444,36,5,.357,14,.420,50,10,.909,11,4,4,NBA,129,Jameer Nelson,4,19,34,PG,57,False,2006-07,3,ORL,9,12
25,47,2,37,.593,57,37,.514,72,20,.488,41,.504,113,28,.757,37,10,10,NBA,333,Jameer Nelson,4,43,34,PG,162,False,2007-08,3,ORL,21,41
26,14,0,6,.370,8,7,.412,17,1,.167,6,.348,23,2,.500,4,5,0,NBA,90,Jameer Nelson,1,3,34,PG,19,False,2008-09,1,ORL,7,7
27,67,0,41,.566,91,58,.547,106,33,.393,84,.479,190,51,.823,62,14,14,NBA,479,Jameer Nelson,9,38,34,PG,266,False,2009-10,14,ORL,35,50
28,30,0,18,.415,31,25,.446,56,6,.231,26,.378,82,11,.786,14,6,6,NBA,216,Jameer Nelson,7,14,34,PG,79,False,2010-11,12,ORL,8,25
29,33,1,18,.446,29,21,.429,49,8,.320,25,.392,74,12,.750,16,5,5,NBA,182,Jameer Nelson,1,13,34,PG,78,False,2011-12,4,ORL,10,19
25,3,0,3,.553,8,3,.375,8,5,.455,11,.421,19,6,.750,8,4,0,NBA,47,Shabazz Napier,1,6,36,PG,27,False,2016-17,2,POR,0,4
26,3,0,2,.455,5,5,.714,7,0,.000,4,.455,11,1,.500,2,2,0,NBA,35,Shabazz Napier,0,1,36,PG,11,False,2017-18,3,POR,6,2
25,18,14,55,.683,41,41,.695,59,0,.000,1,.683,60,14,.452,31,20,0,NBA,307,Larry Nance Jr.,35,35,37,C,96,False,2017-18,16,CLE,12,90
24,3,1,2,.333,5,5,.455,11,0,.000,4,.333,15,2,.500,4,11,0,NBA,33,Abdel Nader,1,2,38,SF,12,False,2017-18,1,BOS,2,3
23,0,0,1,.000,0,0,.000,2,0,,0,.000,2,0,,0,2,0,NBA,7,Julius Nwosu,1,1,39,C,0,False,1994-95,0,SAS,1,2
23,1,0,1,.200,1,1,.333,3,0,.000,2,.200,5,0,,0,1,0,NBA,10,Dennis Nutt,1,0,40,PG,2,False,1986-87,0,DAL,1,2
