age,avg_dist,fg2_dunk,fg2_pct,fg2_pct_ast,fg2a_pct_fga,fg3_heave,fg3_pct,fg3_pct_ast,fg3_pct_corner,fg3a_heave,fg3a_pct_fga,fg_pct,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,g,lg_id,mp,name,pct_fg2_dunk,pct_fg3a_corner,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pid,pos,ring,season,team_id
19,11.9,16,.526,.510,.728,0,.324,.565,.286,0,.272,.471,.639,.280,.464,.450,19,NBA,683,Jayson Tatum,.069,.197,.372,.096,.107,.153,1482,SF,False,2017-18,BOS
21,16.8,0,.375,.083,.696,0,.571,.875,.500,0,.304,.435,.250,.333,.300,.467,8,NBA,141,Hedo Turkoglu,.000,.429,.087,.065,.217,.326,1463,SF,False,2000-01,SAC
22,14.0,5,.417,.558,.752,0,.353,1.000,.400,0,.248,.401,.545,.471,.308,.325,16,NBA,443,Hedo Turkoglu,.051,.294,.241,.124,.095,.292,1463,SF,False,2001-02,SAC
23,14.5,3,.389,.786,.720,0,.286,1.000,,1,.280,.360,.538,.429,.250,.250,10,NBA,174,Hedo Turkoglu,.060,.000,.260,.140,.080,.240,1463,SF,False,2002-03,SAC
24,18.7,0,.308,.583,.481,0,.333,1.000,.500,0,.519,.321,.286,.333,.182,.400,10,NBA,271,Hedo Turkoglu,.000,.333,.086,.074,.136,.185,1463,SF,False,2003-04,SAS
27,14.3,1,.537,.318,.820,0,.333,1.000,.750,0,.180,.500,.778,.500,.200,.733,4,NBA,156,Hedo Turkoglu,.020,.444,.180,.040,.300,.300,1463,SF,False,2006-07,ORL
28,10.5,7,.500,.170,.752,0,.286,.700,.333,0,.248,.447,.531,.375,.421,.533,10,NBA,399,Hedo Turkoglu,.057,.086,.454,.057,.135,.106,1463,SF,False,2007-08,ORL
29,14.4,0,.443,.223,.719,0,.386,.656,.636,0,.281,.427,.524,.439,.489,.333,24,NBA,934,Hedo Turkoglu,.000,.133,.214,.139,.153,.214,1463,SF,False,2008-09,ORL
31,16.0,1,.342,.385,.559,0,.233,.286,.333,0,.441,.294,.500,.250,.250,.200,6,NBA,209,Hedo Turkoglu,.015,.200,.235,.059,.118,.147,1463,SF,False,2010-11,ORL
32,14.2,0,.345,.400,.707,0,.417,.800,,0,.293,.366,.600,.000,.200,.375,5,NBA,162,Hedo Turkoglu,.000,.000,.244,.146,.122,.195,1463,SF,False,2011-12,ORL
34,23.5,0,.667,.000,.231,0,.400,.750,.500,0,.769,.462,,,1.000,.500,5,NBA,41,Hedo Turkoglu,.000,.200,.000,.000,.077,.154,1463,SF,False,2013-14,LAC
35,23.5,0,.500,.500,.235,0,.154,1.000,1.000,0,.765,.235,.000,,,.667,11,NBA,55,Hedo Turkoglu,.000,.077,.059,.000,.000,.176,1463,SF,False,2014-15,LAC
23,5.0,0,.600,.667,1.000,0,,,,0,.000,.600,.667,1.000,,.000,3,NBA,25,Ronny Turiaf,.200,,.600,.200,.000,.200,1461,C,False,2005-06,LAL
24,8.4,2,.357,.000,1.000,0,,,,0,.000,.357,.500,.200,.500,.333,4,NBA,48,Ronny Turiaf,.143,,.286,.357,.143,.214,1461,C,False,2006-07,LAL
25,10.8,4,.389,.786,1.000,0,,,,0,.000,.389,.700,.000,.222,.417,19,NBA,187,Ronny Turiaf,.111,,.278,.139,.250,.333,1461,C,False,2007-08,LAL
28,1.5,0,.667,.750,1.000,0,,,,0,.000,.667,.727,.000,,,4,NBA,75,Ronny Turiaf,.000,,.917,.083,.000,.000,1461,C,False,2010-11,NYK
29,2.1,6,.556,.700,1.000,0,,,,0,.000,.556,.625,.000,.000,,12,NBA,121,Ronny Turiaf,.333,,.889,.056,.056,.000,1461,C,True,2011-12,MIA
30,1.5,1,.700,.714,1.000,0,,,,0,.000,.700,.700,,,,5,NBA,59,Ronny Turiaf,.100,,1.000,.000,.000,.000,1461,C,False,2012-13,LAC
22,21.0,0,.000,,.667,0,.000,,,0,.333,.000,,,,.000,4,NBA,8,Nikoloz Tskitishvili,.000,.000,.000,.000,.000,.667,1455,SF,False,2005-06,PHO
21,5.1,3,.375,.667,1.000,0,,,,0,.000,.375,.429,.200,.667,.000,4,NBA,75,Jake Tsakalidis,.188,,.438,.313,.188,.063,1452,C,False,2000-01,PHO
24,,0,,,,0,,,,0,,,,,,,1,NBA,3,Jake Tsakalidis,,,,,,,1452,C,False,2003-04,MEM
26,3.6,0,.600,.500,1.000,0,,,,0,.000,.600,.800,.500,,.000,4,NBA,59,Jake Tsakalidis,.000,,.500,.400,.000,.100,1452,C,False,2005-06,MEM
27,,0,,,,0,,,,0,,,,,,,1,NBA,3,Jake Tsakalidis,,,,,,,1452,C,False,2006-07,HOU
27,5.0,0,.500,.375,1.000,0,,,,0,.000,.500,.571,.500,,.000,3,NBA,48,Gary Trent,.000,,.438,.500,.000,.063,1445,PF,False,2001-02,MIN
28,5.9,0,.357,.400,1.000,0,,,,0,.000,.357,.400,.333,.000,1.000,6,NBA,42,Gary Trent,.071,,.357,.429,.143,.071,1445,SF,False,2002-03,MIN
29,8.4,0,.348,.625,.920,0,.000,,,1,.080,.320,.111,.556,.667,.000,13,NBA,71,Gary Trent,.000,.000,.360,.360,.120,.080,1445,C,False,2003-04,MIN
24,6.8,3,.368,.714,.950,0,.000,,,0,.050,.350,.444,.400,.000,.333,8,NBA,62,Robert Traylor,.250,.000,.450,.250,.100,.150,1444,PF,False,2001-02,CHH
25,6.1,1,.455,.500,1.000,0,,,,0,.000,.455,.385,.500,.667,.500,6,NBA,94,Robert Traylor,.045,,.591,.091,.136,.182,1444,C,False,2002-03,NOH
26,8.0,0,.444,1.000,1.000,0,,,,0,.000,.444,.667,.333,.000,.500,4,NBA,40,Robert Traylor,.000,,.333,.333,.111,.222,1444,C,False,2003-04,NOH
23,11.0,0,.444,.375,.947,0,.000,,,0,.053,.421,.375,1.000,,.444,5,NBA,88,Jamaal Tinsley,.000,.000,.421,.053,.000,.474,1419,PG,False,2001-02,IND
24,14.4,0,.545,.333,.629,0,.615,.875,1.000,0,.371,.571,.778,.500,.286,.500,6,NBA,185,Jamaal Tinsley,.000,.077,.257,.114,.200,.057,1419,PG,False,2002-03,IND
25,14.4,0,.478,.212,.561,0,.296,.938,.455,1,.439,.398,.447,.600,.667,.143,16,NBA,422,Jamaal Tinsley,.000,.204,.309,.122,.073,.057,1419,PG,False,2003-04,IND
26,10.4,0,.423,.033,.798,0,.111,.500,.000,0,.202,.360,.382,.667,.571,.091,9,NBA,247,Jamaal Tinsley,.000,.167,.382,.135,.157,.124,1419,PG,False,2004-05,IND
27,24.7,0,1.000,1.000,.333,0,.000,,,0,.667,.333,,,,1.000,1,NBA,7,Jamaal Tinsley,.000,.000,.000,.000,.000,.333,1419,PG,False,2005-06,IND
33,13.4,0,.250,.500,.800,0,.250,1.000,,0,.200,.250,.333,.400,.200,.000,4,NBA,65,Jamaal Tinsley,.000,.000,.150,.250,.250,.150,1419,PG,False,2011-12,UTA
38,8.9,0,.222,.000,1.000,0,,,,0,.000,.222,.667,.000,.000,.000,8,NBA,57,Otis Thorpe,.111,,.333,.222,.222,.222,1410,PF,False,2000-01,CHH
29,6.7,2,.500,.500,.889,0,.000,,.000,0,.111,.444,.800,.000,,.000,10,NBA,55,Jason Thompson,.222,1.000,.556,.222,.000,.111,1397,C,False,2015-16,TOR
20,4.6,13,.390,.688,1.000,0,,,,0,.000,.390,.538,.167,.167,.000,10,NBA,122,Tyrus Thomas,.317,,.634,.146,.146,.073,1386,PF,False,2006-07,CHI
22,8.9,8,.444,.750,.984,0,.000,,,1,.016,.438,.433,.500,.364,.500,7,NBA,195,Tyrus Thomas,.141,.000,.469,.063,.172,.281,1386,PF,False,2008-09,CHI
23,9.6,3,.625,.933,1.000,0,,,,0,.000,.625,.778,.333,.000,.636,4,NBA,68,Tyrus Thomas,.125,,.375,.125,.042,.458,1386,C,False,2009-10,CHA
23,13.4,8,.457,.738,.643,0,.431,1.000,.471,0,.357,.448,.703,.238,.409,.167,18,NBA,479,Tim Thomas,.070,.333,.259,.147,.154,.084,1385,PF,False,2000-01,MIL
25,13.2,2,.421,.583,.731,0,.571,1.000,.857,0,.269,.462,.625,.250,.400,.400,6,NBA,191,Tim Thomas,.026,.333,.205,.205,.192,.128,1385,SF,False,2002-03,MIL
