age,ast_per_g,blk_per_g,drb_per_g,efg_pct,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,g,gs,lg_id,mp_per_g,name,orb_per_g,pf_per_g,pid,pos,pts_per_g,ring,season,stl_per_g,team_id,tov_per_g,trb_per_g
26,3.0,0.8,6.8,.494,.494,6.8,13.8,,0.0,0.0,.494,6.8,13.8,.667,3.0,4.5,6,6,NBA,36.3,Al Horford,2.0,2.8,856,C,16.7,False,2012-13,1.0,ATL,1.5,8.8
28,3.7,1.4,6.1,.512,.520,6.6,12.6,.222,0.1,0.6,.507,6.7,13.2,.750,0.9,1.3,16,16,NBA,32.6,Al Horford,2.5,2.1,856,C,14.4,False,2014-15,0.8,ATL,1.6,8.6
29,3.0,2.4,5.2,.513,.489,4.3,8.8,.393,1.1,2.8,.466,5.4,11.6,.938,1.5,1.6,10,10,NBA,32.7,Al Horford,1.3,2.5,856,C,13.4,False,2015-16,1.2,ATL,1.7,6.5
30,5.4,0.8,4.8,.655,.609,4.7,7.7,.519,1.5,2.9,.584,6.2,10.6,.759,1.2,1.6,18,18,NBA,33.9,Al Horford,1.7,1.8,856,C,15.1,False,2016-17,0.8,BOS,1.8,6.6
31,3.3,1.2,6.6,.581,.596,5.1,8.5,.349,0.8,2.3,.544,5.8,10.7,.827,3.3,3.9,19,19,NBA,35.7,Al Horford,1.7,2.1,856,C,15.7,False,2017-18,1.0,BOS,1.7,8.3
24,1.1,0.0,2.6,.414,.436,2.2,5.0,.260,1.2,4.5,.352,3.4,9.5,.611,1.0,1.6,11,0,NBA,25.2,Rodney Hood,0.1,2.7,854,SG,8.9,False,2016-17,0.5,UTA,0.9,2.7
25,1.1,0.2,1.4,.446,.515,2.1,4.0,.167,0.2,1.4,.424,2.3,5.4,.750,0.5,0.7,17,1,NBA,15.3,Rodney Hood,0.4,1.8,854,SG,5.4,False,2017-18,0.3,CLE,0.8,1.8
24,0.3,0.0,0.3,.000,.000,0.0,0.3,,0.0,0.0,.000,0.0,0.3,,0.0,0.0,3,0,NBA,3.7,Richaun Holmes,0.0,1.0,853,C,0.0,False,2017-18,0.0,PHI,0.0,0.3
27,0.0,0.0,0.0,.000,,0.0,0.0,.000,0.0,1.0,.000,0.0,1.0,,0.0,0.0,1,0,NBA,1.0,John Holland,0.0,0.0,851,SF,0.0,False,2015-16,0.0,BOS,0.0,0.0
25,0.2,0.0,0.2,.750,.000,0.0,0.2,1.000,0.2,0.2,.500,0.2,0.4,,0.0,0.0,5,0,NBA,2.2,Justin Holiday,0.0,0.2,850,SG,0.6,True,2014-15,0.0,GSW,0.4,0.2
20,5.6,0.4,3.2,.509,.351,2.6,7.4,.524,2.2,4.2,.414,4.8,11.6,.800,2.4,3.0,5,5,NBA,37.6,Jrue Holiday,0.6,2.0,849,PG,14.2,False,2010-11,2.0,PHI,2.2,3.8
21,5.2,0.6,3.4,.469,.415,4.2,10.0,.408,1.5,3.8,.413,5.7,13.8,.864,2.9,3.4,13,13,NBA,38.0,Jrue Holiday,1.3,1.8,849,PG,15.8,False,2011-12,1.5,PHI,2.0,4.7
24,4.3,0.3,0.3,.395,.400,2.0,5.0,.250,0.3,1.3,.368,2.3,6.3,1.000,1.3,1.3,3,0,NBA,18.3,Jrue Holiday,0.7,1.0,849,PG,6.3,False,2014-15,0.7,NOP,1.7,1.0
27,6.3,0.6,4.7,.565,.600,8.0,13.3,.320,1.8,5.6,.518,9.8,18.9,.700,2.3,3.3,9,9,NBA,38.7,Jrue Holiday,1.0,2.4,849,SG,23.7,False,2017-18,1.1,NOP,2.6,5.7
22,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1,0,NBA,1.0,Solomon Hill,0.0,0.0,846,SF,0.0,False,2013-14,0.0,IND,0.0,0.0
24,1.1,0.0,3.3,.629,.250,0.4,1.7,.579,1.6,2.7,.452,2.0,4.4,.938,2.1,2.3,7,0,NBA,28.3,Solomon Hill,0.7,2.9,846,SF,7.7,False,2015-16,0.3,IND,0.4,4.0
26,0.8,0.1,1.2,.480,.333,0.3,1.0,.375,0.7,1.8,.360,1.0,2.8,.900,1.0,1.1,9,0,NBA,12.7,Solomon Hill,0.7,1.9,846,SF,3.7,False,2017-18,0.1,NOP,0.7,1.9
22,0.5,0.3,1.3,.405,.308,1.0,3.3,.375,0.8,2.0,.333,1.8,5.3,.857,1.5,1.8,4,0,NBA,19.0,George Hill,0.8,1.5,845,PG,5.8,False,2008-09,0.5,SAS,0.5,2.0
23,0.7,0.2,2.6,.505,.479,3.5,7.3,.379,1.1,2.9,.451,4.6,10.2,.838,3.1,3.7,10,8,NBA,34.4,George Hill,0.5,2.1,845,PG,13.4,False,2009-10,1.0,SAS,0.8,3.1
24,2.3,0.3,4.2,.440,.457,2.7,5.8,.267,0.7,2.5,.400,3.3,8.3,.867,4.3,5.0,6,1,NBA,31.5,George Hill,0.8,2.5,845,PG,11.7,False,2010-11,1.5,SAS,1.3,5.0
25,2.9,0.3,1.5,.519,.492,2.9,5.9,.375,1.4,3.6,.448,4.3,9.5,.848,3.5,4.2,11,11,NBA,31.5,George Hill,0.8,1.9,845,PG,13.5,False,2011-12,1.2,IND,2.0,2.3
26,4.3,0.2,3.4,.483,.438,2.7,6.2,.358,1.9,5.3,.401,4.6,11.5,.829,3.5,4.2,18,18,NBA,38.1,George Hill,0.3,2.3,845,PG,14.6,False,2012-13,1.2,IND,2.2,3.7
27,3.0,0.2,3.1,.522,.505,2.7,5.3,.364,1.5,4.1,.444,4.2,9.4,.721,2.3,3.2,19,19,NBA,36.2,George Hill,0.7,2.3,845,PG,12.1,False,2013-14,1.2,IND,1.5,3.7
29,2.1,0.1,1.9,.675,.633,2.7,4.3,.481,1.9,3.9,.561,4.6,8.1,.818,2.6,3.1,7,7,NBA,33.6,George Hill,0.9,2.3,845,PG,13.6,False,2015-16,0.9,IND,1.1,2.7
30,3.6,0.1,3.1,.531,.507,4.3,8.4,.387,1.5,3.9,.469,5.8,12.3,.724,2.6,3.6,8,8,NBA,35.1,George Hill,1.0,3.1,845,PG,15.6,False,2016-17,0.3,UTA,1.6,4.1
31,2.2,0.4,1.5,.511,.538,2.3,4.2,.314,0.8,2.7,.450,3.1,6.9,.774,2.2,2.8,19,18,NBA,29.3,George Hill,0.7,2.7,845,PG,9.2,False,2017-18,0.5,CLE,1.2,2.2
21,3.0,0.6,2.6,.444,.444,3.2,7.2,,0.0,0.0,.444,3.2,7.2,.538,1.4,2.6,5,5,NBA,26.4,Nene Hilario,2.4,4.4,844,PF,7.8,False,2003-04,1.0,DEN,1.8,5.0
22,0.4,0.4,3.2,.429,.429,1.8,4.2,,0.0,0.0,.429,1.8,4.2,.652,3.0,4.6,5,0,NBA,20.2,Nene Hilario,1.8,3.2,844,C,6.6,False,2004-05,0.4,DEN,1.0,5.0
24,2.4,0.6,3.4,.585,.585,6.2,10.6,,0.0,0.0,.585,6.2,10.6,.778,2.8,3.6,5,5,NBA,35.8,Nene Hilario,4.4,4.2,844,C,15.2,False,2006-07,0.6,DEN,2.6,7.8
25,0.3,0.3,1.3,.556,.556,1.7,3.0,,0.0,0.0,.556,1.7,3.0,1.000,1.0,1.0,3,0,NBA,10.0,Nene Hilario,1.0,2.7,844,PF,4.3,False,2007-08,0.7,DEN,0.7,2.3
26,2.6,0.6,5.2,.548,.548,4.3,7.9,,0.0,0.0,.548,4.3,7.9,.657,2.9,4.4,16,16,NBA,32.8,Nene Hilario,2.3,4.1,844,C,11.5,False,2008-09,1.3,DEN,1.9,7.5
27,2.2,0.2,4.2,.621,.621,3.6,5.8,,0.0,0.0,.621,3.6,5.8,.583,4.2,7.2,5,5,NBA,33.8,Nene Hilario,1.6,3.4,844,C,11.4,False,2009-10,1.2,DEN,0.8,5.8
28,1.6,0.8,6.2,.478,.478,4.4,9.2,,0.0,0.0,.478,4.4,9.2,.563,5.4,9.6,5,5,NBA,32.4,Nene Hilario,2.8,3.4,844,C,14.2,False,2010-11,1.0,DEN,1.6,9.0
31,2.6,1.1,4.5,.464,.464,6.4,13.8,,0.0,0.0,.464,6.4,13.8,.346,0.9,2.6,10,10,NBA,32.5,Nene Hilario,0.8,3.6,844,PF,13.7,False,2013-14,0.9,WAS,1.7,5.3
32,1.5,0.3,4.1,.447,.447,3.4,7.6,,0.0,0.0,.447,3.4,7.6,.478,1.1,2.3,10,10,NBA,25.7,Nene Hilario,2.5,3.2,844,PF,7.9,False,2014-15,0.9,WAS,1.4,6.6
34,0.6,0.4,3.4,.706,.720,4.0,5.6,.000,0.0,0.1,.706,4.0,5.7,.581,2.0,3.4,9,0,NBA,17.9,Nene Hilario,1.2,2.7,844,C,10.0,False,2016-17,0.7,HOU,1.0,4.7
35,0.5,0.5,2.0,.600,.600,1.1,1.8,,0.0,0.0,.600,1.1,1.8,.636,0.6,1.0,11,0,NBA,9.7,Nene Hilario,0.5,1.6,844,C,2.8,False,2017-18,0.2,HOU,0.7,2.5
22,0.3,0.0,2.0,.273,.300,0.8,2.5,.000,0.0,0.3,.273,0.8,2.8,,0.0,0.0,4,0,NBA,8.3,John Henson,0.0,1.3,838,PF,1.5,False,2012-13,0.5,MIL,0.5,2.0
24,0.7,1.7,4.5,.585,.600,4.0,6.7,.000,0.0,0.2,.585,4.0,6.8,.357,0.8,2.3,6,0,NBA,25.5,John Henson,3.5,2.3,838,C,8.8,False,2014-15,0.8,MIL,1.8,8.0
26,0.0,0.0,1.0,.250,.250,0.5,2.0,,0.0,0.0,.250,0.5,2.0,1.000,0.5,0.5,2,0,NBA,6.0,John Henson,1.0,0.5,838,C,1.5,False,2016-17,0.5,MIL,0.5,2.0
27,2.5,3.5,4.0,.692,.692,4.5,6.5,,0.0,0.0,.692,4.5,6.5,.500,0.5,1.0,2,2,NBA,37.0,John Henson,2.0,2.0,838,C,9.5,False,2017-18,0.0,MIL,2.0,6.0
26,2.3,0.3,3.8,.378,.500,3.5,7.0,.000,0.0,2.3,.378,3.5,9.3,.647,2.8,4.3,4,4,NBA,29.8,Gerald Henderson,0.3,3.0,835,SG,9.8,False,2013-14,1.0,CHA,1.5,4.0
28,1.5,0.3,2.6,.409,.365,2.1,5.7,.368,0.6,1.7,.366,2.7,7.5,.750,0.8,1.1,11,0,NBA,21.3,Gerald Henderson,0.5,1.9,835,SG,6.9,False,2015-16,0.5,POR,0.5,3.2
21,3.0,0.0,2.3,.197,.238,1.3,5.3,.083,0.3,3.0,.182,1.5,8.3,1.000,4.0,4.0,4,4,NBA,30.8,Gordon Hayward,0.5,1.0,833,SF,7.3,False,2011-12,0.8,UTA,0.8,2.8
26,3.4,0.3,5.5,.516,.458,5.0,10.9,.412,2.5,6.2,.441,7.5,17.1,.934,6.5,6.9,11,11,NBA,37.4,Gordon Hayward,0.6,2.1,833,SF,24.1,False,2016-17,0.9,UTA,2.2,6.1
22,1.8,0.4,2.8,.364,.375,2.4,6.4,.000,0.0,0.2,.364,2.4,6.6,.500,0.4,0.8,5,5,NBA,19.6,Spencer Hawes,1.0,2.2,831,C,5.2,False,2010-11,0.0,PHI,0.4,3.8
23,1.6,0.8,5.2,.472,.466,3.7,7.9,.400,0.2,0.4,.463,3.8,8.3,.731,1.5,2.0,13,12,NBA,25.5,Spencer Hawes,1.4,2.5,831,C,9.3,False,2011-12,0.3,PHI,1.7,6.6
26,0.6,0.4,1.3,.618,.545,0.8,1.4,.500,0.4,0.8,.529,1.1,2.1,1.000,0.3,0.3,8,0,NBA,7.1,Spencer Hawes,0.4,1.5,831,PF,2.9,False,2014-15,0.3,LAC,0.1,1.6
27,0.6,0.4,2.6,.500,.556,1.0,1.8,.250,0.2,0.8,.462,1.2,2.6,.833,1.0,1.2,5,0,NBA,10.6,Spencer Hawes,0.6,1.0,831,PF,3.6,False,2015-16,0.2,CHO,0.8,3.2
28,0.3,0.3,0.7,.500,.333,0.3,1.0,.500,0.3,0.7,.400,0.7,1.7,,0.0,0.0,3,0,NBA,5.7,Spencer Hawes,0.7,1.0,831,PF,1.7,False,2016-17,0.0,MIL,0.3,1.3
