age,ast,blk,drb,efg_pct,fg,fg2,fg2_pct,fg2a,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,g,gs,lg_id,mp,name,orb,pf,pid,pos,pts,ring,season,stl,team_id,tov,trb
29,28,8,36,.477,84,41,.451,91,43,.331,130,.380,221,51,.836,61,17,2,NBA,549,Eric Gordon,9,29,778,SG,262,False,2017-18,10,HOU,24,45
27,1,0,0,.357,2,1,.250,4,1,.333,3,.286,7,0,,0,7,0,NBA,16,Eddie Hughes,0,1,775,PG,5,False,1987-88,1,UTA,1,0
23,9,13,38,.509,29,29,.509,57,0,,0,.509,57,2,.400,5,12,,ABA,266,Kim Hughes,34,53,776,C,60,True,1975-76,10,NYA,9,72
26,0,0,8,.500,1,1,.500,2,,,,.500,2,1,.500,2,3,,NBA,35,Kim Hughes,3,8,776,C,3,False,1978-79,2,DEN,3,11
23,1,0,0,.444,4,4,.444,9,0,,0,.444,9,0,,0,3,0,NBA,18,Alfredrick Hughes,0,3,774,SG,8,False,1985-86,1,SAS,1,0
24,9,0,4,.286,6,6,.333,18,0,.000,3,.286,21,5,.833,6,4,0,NBA,56,Troy Hudson,5,3,772,PG,17,False,2000-01,1,ORL,3,9
25,6,0,4,.375,18,18,.419,43,0,.000,5,.375,48,15,.938,16,4,0,NBA,106,Troy Hudson,0,4,772,PG,51,False,2001-02,0,ORL,8,4
26,33,0,11,.495,44,27,.403,67,17,.436,39,.415,106,36,.947,38,6,6,NBA,221,Troy Hudson,1,5,772,PG,141,False,2002-03,8,MIN,16,12
24,11,12,67,.635,40,40,.635,63,0,,0,.635,63,24,.480,50,9,9,NBA,246,Rudy Gobert,22,30,769,C,104,False,2016-17,9,UTA,9,89
25,11,25,75,.655,55,55,.655,84,0,,0,.655,84,35,.603,58,11,11,NBA,383,Rudy Gobert,43,34,769,C,145,False,2017-18,10,UTA,21,118
24,3,3,26,.421,16,16,.421,38,0,,0,.421,38,6,.545,11,5,5,NBA,145,Taj Gibson,9,17,766,PF,38,False,2009-10,1,CHI,2,35
25,9,22,40,.566,43,43,.573,75,0,.000,1,.566,76,9,.600,15,16,0,NBA,284,Taj Gibson,26,32,766,PF,95,False,2010-11,5,CHI,14,66
26,4,10,24,.457,21,21,.457,46,0,,0,.457,46,15,.682,22,6,0,NBA,137,Taj Gibson,15,19,766,PF,57,False,2011-12,4,CHI,3,39
27,4,6,21,.470,31,31,.484,64,0,.000,2,.470,66,16,.727,22,12,0,NBA,206,Taj Gibson,15,37,766,PF,78,False,2012-13,4,CHI,9,36
28,2,12,10,.561,32,32,.561,57,0,,0,.561,57,27,.750,36,5,0,NBA,154,Taj Gibson,21,12,766,PF,91,False,2013-14,2,CHI,8,31
29,12,12,41,.472,34,34,.472,72,0,,0,.472,72,21,.700,30,12,2,NBA,276,Taj Gibson,25,25,766,PF,89,False,2014-15,4,CHI,11,66
31,3,0,15,.600,21,21,.600,35,0,,0,.600,35,7,.875,8,5,5,NBA,118,Taj Gibson,3,13,766,PF,49,False,2016-17,1,OKC,8,18
32,2,2,13,.636,14,14,.636,22,0,,0,.636,22,3,1.000,3,5,5,NBA,123,Taj Gibson,7,8,766,PF,31,False,2017-18,1,MIN,4,20
22,15,,,,77,,,,,,,.430,179,49,.721,68,9,,NBA,317,Lou Hudson,,35,766,SF,203,False,1966-67,,STL,,48
23,14,,,,44,,,,,,,.444,99,42,.894,47,6,,NBA,181,Lou Hudson,,21,766,SG,130,False,1967-68,,STL,,43
24,32,,,,101,,,,,,,.468,216,40,.769,52,11,,NBA,424,Lou Hudson,,43,766,SF,242,False,1968-69,,ATL,,59
25,33,,,,78,,,,,,,.417,187,41,.820,50,9,,NBA,360,Lou Hudson,,34,766,SF,197,False,1969-70,,ATL,,40
26,15,,,,49,,,,,,,.454,108,29,.744,39,5,,NBA,213,Lou Hudson,,19,766,SF,127,False,1970-71,,ATL,,35
27,21,,,,63,,,,,,,.453,139,24,.828,29,6,,NBA,266,Lou Hudson,,13,766,SG,150,False,1971-72,,ATL,,33
