age,and1s,astd_pts,drawn_shooting,fga_blkd,fouls_blocking,fouls_offensive,fouls_shooting,fouls_take,g,lg_id,mp,name,pct_1,pct_2,pct_3,pct_4,pct_5,pid,plus_minus_net,plus_minus_on,pos,ring,season,team_id,tov_bad_pass,tov_lost_ball,tov_other
23,0,5,2,1,0,0,7,0,5,NBA,21,Montrezl Harrell,,,,,100%,819,-14.3,-12.0,C,False,2016-17,HOU,1,1,0
21,0,27,3,3,,1,3,0,9,NBA,80,Devin Harris,72%,28%,,,,820,-8.4,-9.5,PG,False,2004-05,DAL,3,4,3
22,15,115,36,16,,9,31,0,23,NBA,558,Devin Harris,41%,60%,,,,820,-6.2,1.3,PG,False,2005-06,DAL,25,7,10
23,5,73,11,6,,2,12,0,6,NBA,163,Devin Harris,100%,,,,,820,-5.7,-9.9,PG,False,2006-07,DAL,4,2,3
28,2,32,8,1,1,2,5,0,4,NBA,120,Devin Harris,100%,,,,,820,-7.9,-21.1,PG,False,2011-12,UTA,9,0,3
29,2,49,10,5,1,0,4,2,6,NBA,225,Devin Harris,25%,75%,,,,820,-0.9,-6.0,SG,False,2012-13,ATL,6,3,3
30,1,62,4,3,2,2,2,2,7,NBA,176,Devin Harris,41%,59%,,,,820,2.2,-1.5,PG,False,2013-14,DAL,8,1,2
31,1,9,1,2,0,0,3,4,4,NBA,74,Devin Harris,50%,50%,,,,820,-18.4,-17.9,PG,False,2014-15,DAL,1,3,0
32,2,18,5,1,1,0,5,5,5,NBA,121,Devin Harris,10%,84%,6%,,,820,13.3,-13.1,PG,False,2015-16,DAL,0,3,0
22,1,16,10,7,1,3,18,1,11,NBA,272,Maurice Harkless,,,67%,32%,,817,-3.7,-3.8,SF,False,2015-16,POR,1,7,3
23,0,7,3,6,0,0,9,1,4,NBA,99,Maurice Harkless,,,,92%,8%,817,-10.6,-23.0,SF,False,2016-17,POR,1,0,0
24,0,11,0,1,0,0,0,0,2,NBA,53,Maurice Harkless,,,95%,5%,,817,0.7,-8.9,SF,False,2017-18,POR,0,1,0
22,0,0,0,0,0,0,0,0,1,NBA,5,Justin Harper,,,,100%,,818,15.2,2.2,PF,False,2011-12,ORL,0,0,0
20,3,24,7,2,,0,6,0,6,NBA,120,James Harden,,83%,18%,,,816,7.9,2.3,SG,False,2009-10,OKC,2,1,0
21,5,144,31,4,1,2,25,0,17,NBA,537,James Harden,,54%,45%,2%,,816,14.7,7.1,SG,False,2010-11,OKC,9,16,3
22,7,159,50,12,1,9,20,0,20,NBA,630,James Harden,,29%,66%,5%,,816,18.1,9.9,SG,False,2011-12,OKC,17,13,12
23,4,69,26,12,1,4,5,1,6,NBA,243,James Harden,3%,77%,20%,,,816,29.7,-1.1,SG,False,2012-13,HOU,11,12,4
24,2,80,17,11,1,7,3,0,6,NBA,263,James Harden,,64%,33%,3%,,816,15.9,1.6,SG,False,2013-14,HOU,10,4,7
25,5,294,59,20,0,8,19,3,17,NBA,636,James Harden,3%,96%,1%,,,816,7.4,-0.5,SG,False,2014-15,HOU,46,22,9
26,1,86,16,3,0,3,5,0,5,NBA,193,James Harden,7%,87%,6%,,,816,-8.8,-21.5,SG,False,2015-16,HOU,3,20,3
27,4,231,44,22,0,8,15,4,11,NBA,407,James Harden,100%,,,,,816,-3.6,0.9,PG,False,2016-17,HOU,35,16,8
28,14,266,59,24,0,6,10,1,17,NBA,621,James Harden,3%,75%,22%,,,816,20.3,6.7,SG,False,2017-18,HOU,37,21,7
23,0,16,1,0,0,0,1,0,9,NBA,87,Tim Hardaway,1%,95%,4%,,,815,1.9,0.0,SG,False,2015-16,ATL,0,3,0
24,1,15,8,6,1,2,5,0,6,NBA,200,Tim Hardaway,2%,97%,1%,,,815,-13.6,-5.0,SG,False,2016-17,ATL,5,3,2
22,0,0,0,0,,0,0,0,4,NBA,14,Othello Hunter,,,,100%,,803,43.1,32.7,PF,False,2008-09,ATL,0,0,0
21,1,2,2,3,,0,5,0,7,NBA,40,Steven Hunter,,,,38%,62%,804,-28.9,-33.8,C,False,2002-03,ORL,1,0,0
23,0,7,9,7,,2,13,0,15,NBA,213,Steven Hunter,,,,,100%,804,13.2,14.0,C,False,2004-05,PHO,1,5,2
26,0,0,0,0,,0,0,0,2,NBA,5,Steven Hunter,,,,,100%,804,55.8,40.9,C,False,2007-08,DEN,0,0,0
30,0,82,3,6,,0,8,0,18,NBA,289,Lindsey Hunter,100%,,,,,802,-5.1,-1.7,PG,False,2000-01,MIL,7,5,1
31,0,23,0,1,,0,6,0,18,NBA,132,Lindsey Hunter,100%,,,,,802,-0.7,3.2,PG,True,2001-02,LAL,4,1,0
33,0,46,3,2,,2,10,0,23,NBA,273,Lindsey Hunter,30%,70%,,,,802,-13.3,-2.6,SG,True,2003-04,DET,10,1,2
34,2,82,9,7,,4,9,0,25,NBA,374,Lindsey Hunter,34%,66%,,,,802,-2.5,3.8,SG,False,2004-05,DET,5,6,4
35,0,63,0,3,,4,12,0,18,NBA,217,Lindsey Hunter,100%,,,,,802,-16.2,-8.5,PG,False,2005-06,DET,6,2,6
36,0,32,2,1,,1,8,0,13,NBA,133,Lindsey Hunter,100%,,,,,802,-15.0,-9.0,PG,False,2006-07,DET,6,1,3
37,0,28,0,2,,1,2,0,11,NBA,115,Lindsey Hunter,100%,,,,,802,8.9,10.5,PG,False,2007-08,DET,4,0,1
38,0,12,0,0,,0,1,0,6,NBA,24,Lindsey Hunter,100%,,,,,802,34.1,26.6,PG,False,2008-09,CHI,0,0,0
